,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
1/2008 - 3/2008,1942.3,1685.1,3627.4,-0.7,2.2,0.6,69.7,53.1,60.9,73.2,44.7,117.9,3.8,2.7,3.2,3.3,1869.1,1640.4,3509.5,50.3,19.4,69.7,2.6,1.2,1.9
2/2008 - 4/2008,1942.1,1686.8,3628.8,-0.9,2.5,0.7,69.7,53.1,60.9,73.3,46.5,119.7,3.8,2.8,3.3,3.3,1868.8,1640.3,3509.1,46.5,18.6,65.1,2.4,1.1,1.8
3/2008 - 5/2008,1939,1688.3,3627.3,-0.8,2,0.4,69.6,53.1,60.8,71.5,49.7,121.2,3.7,2.9,3.3,3.3,1867.5,1638.6,3506.1,48.5,18.4,66.9,2.5,1.1,1.8
4/2008 - 6/2008,1938.5,1688.5,3627,-0.7,1.2,0.1,69.5,53,60.7,72.9,47.9,120.8,3.8,2.8,3.3,3.2,1865.6,1640.6,3506.3,51,16.8,67.8,2.6,1,1.9
5/2008 - 7/2008,1941.9,1690.5,3632.5,-0.8,0.9,[¡ì3],69.6,53.1,60.8,73.7,50.4,124.1,3.8,3,3.4,3.2,1868.2,1640.1,3508.4,52.6,17.3,69.9,2.7,1,1.9
6/2008 - 8/2008,1948.6,1699.5,3648.1,-0.6,0.5,-0.1,69.8,53.3,61,77.3,51.2,128.5,4,3,3.5,3.3,1871.2,1648.3,3519.5,52.1,16.5,68.6,2.7,1,1.9
7/2008 - 9/2008,1948.2,1696.6,3644.8,-0.7,0.9,0.1,69.8,53.2,60.9,79.8,53.3,133.1,4.1,3.1,3.7,3.5,1868.4,1643.3,3511.7,48.9,17.1,66.1,2.5,1,1.8
8/2008 - 10/2008,1947.5,1692.2,3639.7,-0.2,1.2,0.5,69.7,52.9,60.8,78.6,52.4,130.9,4,3.1,3.6,3.6,1869,1639.8,3508.8,46.7,15,61.8,2.4,0.9,1.7
9/2008 - 11/2008,1942.2,1690.9,3633.1,-0.3,1.4,0.5,69.5,52.8,60.6,82.6,53.4,136,4.3,3.2,3.7,3.9,1859.6,1637.5,3497.1,47.9,16.6,64.5,2.5,1,1.8
10/2008 - 12/2008,1943.9,1703.3,3647.2,-0.6,1.7,0.4,69.5,53.2,60.8,86.3,54.2,140.5,4.4,3.2,3.9,4.1,1857.6,1649.1,3506.7,50.9,17.8,68.7,2.6,1,1.9
